Workout
Sampson Stretch
Overhead Squat
Push Press
Sit Up
Push Up
Pull Up
Superman
Squat
Back Squat
Front Squat
Hang Front Clean
Running
Rowing
Push Press
Barbell Shoulder Press
Barbell Bench Press
Dumbbell Bench Press
Dumbbell Shoulder Press
Power Clean
Barbell Row
Cable Row
Oblique Crunch
Barbell Romanian Deadlift
